Championship,Team A,Team B,Score,Time
الدوري الإسباني,ريال بيتيس,برشلونة,1 - 2,22:00
الدوري الإسباني,جيرونا,اسبانيول,2 - 1,14:00
الدوري الإسباني,أتلتيك بلباو,خيتافي,0 - 0,16:15
الدوري الإسباني,قادش,اشبيلية,0 - 2,18:30
الدوري الإسباني,إلتشي,برشلونة,0 - 4,21:00
دوري أبطال أفريقيا,بترو أتليتكو,فيتا كلوب,1 - 0,18:00
دوري أبطال أفريقيا,الأهلي,الهلال السوداني,3 - 0,21:00
دوري أبطال أفريقيا,ماميلودي صنداونز,القطن الكاميروني,2 - 1,21:00
دوري أبطال أفريقيا,الوداد البيضاوي,شبيبة القبــــائل,3 - 0,23:59
دوري أبطال أفريقيا,الترجى الرياضي,شباب بلوزداد,0 - 0,23:59
الدوري الإسباني,مايوركا,أتلتيك بلباو,1 - 1,20:00
الدوري الإسباني,اشبيلية,جيرونا,0 - 2,22:00
بطولة أمم أفريقيا تحت 23,النيجر الأولمبي,مالي الأولمبي,0 - 2,23:00
بطولة أمم أفريقيا تحت 23,الجابون الأولمبي,مصر الأولمبي,0 - 2,23:00
مباريات ودية -أندية,باريس سان جيرمان,إنتر ميلان,1 - 2,13:00
الدوري الإنجليزي,لوتون تاون,وست هام يونايتد,1 - 2,22:00
الدوري الإسباني,قادش,فياريال,3 - 1,20:30
الدوري الإسباني,الميريا,سيلتا فيجو,2 - 3,23:00
الدوري السعودي,الفيحاء,الرائد,0 - 0,18:00
الدوري السعودي,الطــائي,أبها,1 - 0,18:00
الدوري السعودي,الرياض,الأخدود,0 - 1,21:00
الدوري السعودي,الاتحاد,الهلال,3 - 4,21:00
الدوري الإيطالي,ساسولو,هيلاس فيرونا,3 - 1,19:30
الدوري الإيطالي,روما,ميلان,1 - 2,21:45
الدوري الألماني,بروسيا دورتموند,هايدنهايم,2 - 2,21:30
الدوري الفرنسي,نانت,مارسيليا,1 - 1,22:00
الدوري المغربي,الشباب الرياضي السالمي,حسنية اغادير,1 - 0,23:30
الدوري التركي,قاسم باشا,طرابزون سبور,1 - 5,21:00
الدوري التركي,ريزه سبور,فاتح كاراجومروك,1 - 0,21:00
الدوري البرتغالي,فيزيلا,جل فيسنتي,1 - 0,22:15
دوري نجوم قطر,الأهلي القطري,الغرافة,1 - 4,18:15
دوري نجوم قطر,ام صلال,نادي قطر,2 - 2,20:15
دوري نجوم قطر,معيذر,المرخية الرياضي,5 - 2,20:15
البطولة العربية للأندية لكرة السلة,الأهلي,دجلة الجامعة العراقي,92 - 77,13:00
البطولة العربية للأندية لكرة السلة,الأهلي القطري,نادي دينامو,63 - 93,14:00
البطولة العربية للأندية لكرة السلة,نادي اتحاد الجزائر,نادي السيب,81 - 57,15:30
البطولة العربية للأندية لكرة السلة,نادي مجد طنجة,بيروت اللبناني,70 - 95,16:30
البطولة العربية للأندية لكرة السلة,نادي القادسية,نادي الفتح,79 - 62,18:00
البطولة العربية للأندية لكرة السلة,نادي خدمات البريج,نادي قطر,70 - 87,19:30
بطولة إفريقيا للأندية لكرة اليد,ريد ستار,أدجيدجا,27 - 31,16:00
بطولة إفريقيا للأندية لكرة اليد,نزيكو الكاميروني,بترو سبورت,24 - 27,18:00
تصفيات الأولمبياد - كرة طائرة,كوبا,أوكرانيا,3 - 0,02:30
تصفيات الأولمبياد - كرة طائرة,سلوفينيا,تركيا,3 - 0,04:00
تصفيات الأولمبياد - كرة طائرة,الارجنتين,كندا,1 - 3,05:00
تصفيات الأولمبياد - كرة طائرة,صربيا,تونس‎,3 - 0,07:00
تصفيات الأولمبياد - كرة طائرة,هولندا,المكسيك,3 - 0,08:00
تصفيات الأولمبياد - كرة طائرة,الولايات المتحدة,فنلندا,3 - 0,10:00
تصفيات الأولمبياد - كرة طائرة,بولندا,بلغاريا,3 - 0,11:00
تصفيات الأولمبياد - كرة طائرة,اليابان,مصر,2 - 3,13:25
تصفيات الأولمبياد - كرة طائرة,الصين,بلجيكا,1 - 3,14:30
تصفيات الأولمبياد - كرة طائرة,البرازيل,التشيك,3 - 2,16:00
تصفيات الأولمبياد - كرة طائرة,كوبا,ألمانيا,1 - 3,19:30
تصفيات الأولمبياد - كرة طائرة,إيطاليا,قطر,3 - 0,23:00
الكونفيدرالية الإفريقية,ديابل نوار,مايسترو يونايتد,2 - 0,17:30
الكونفيدرالية الإفريقية,سانت إيلوي لوبوبو,سيخوخون يونايتد,1 - 1,17:30
الكونفيدرالية الإفريقية,ريفرز يونايتد,ايتوال فيلانتي,2 - 0,18:00
الكونفيدرالية الإفريقية,الافريقي التونسي,بحر دار كينيما,3 - 0,18:00
الكونفيدرالية الإفريقية,مودرن فيوتشر,سينجيدا بيج ستارز,4 - 1,18:00
الكونفيدرالية الإفريقية,أكاديميكا لوبيتو,المريخ جوبا,3 - 0,21:00
الكونفيدرالية الإفريقية,اتحاد العاصمة,الفتح الرباطي,0 - 0,22:00
دوري أبطال أفريقيا,سيمبا,باور ديناموز,1 - 1,16:00
دوري أبطال أفريقيا,أسيك أبيدجـــــان,أهلي بنغازي,2 - 1,19:00
دوري أبطال أفريقيا,إف سي نواذيبو,ريال باماكو,1 - 1,20:00
دوري أبطال أفريقيا,الهلال السوداني,أول أغسطس,2 - 1,21:00
الدوري الإنجليزي,نوتينجهام فورست,برينتفورد,1 - 1,16:00
الدوري الإسباني,الميريا,غرناطه,3 - 3,15:00
الدوري الإسباني,ألافيس,أوساسونا,0 - 2,17:15
الدوري الإسباني,ريال بيتيس,فالنسيا,3 - 0,22:00
الدوري الإسباني,اتلتيكو مدريد,قادش,3 - 2,22:00
الدوري الإيطالي,بولونيا,إمبولي,3 - 0,13:30
الدوري الإيطالي,أودينيزي,جنوى,2 - 2,16:00
الدوري الإيطالي,أتالانتا,يوفنتوس,0 - 0,19:00
الدوري الإيطالي,روما,فروزينوني,2 - 0,21:45
الدوري الألماني,دارمشتات,فيردر بريمن,4 - 2,16:30
الدوري الألماني,فرايبورج,أوجسبورج,2 - 0,18:30
الدوري الفرنسي,ريمس,ليون,2 - 0,14:00
الدوري الفرنسي,نيس,بريست,0 - 0,16:00
الدوري الفرنسي,تولوز,ميتز,3 - 0,16:00
الدوري الفرنسي,لوهافر,ليل,0 - 2,16:00
الدوري الفرنسي,لوريان,مونبيليه,0 - 3,18:05
الدوري الفرنسي,رين,نانت,3 - 1,21:45
الدوري المغربي,حسنية اغادير,الرجاء البيضاوي,1 - 1,18:00
الدوري المغربي,يوسفية برشيد,مولودية وجدة,0 - 0,20:15
الدوري المغربي,المغرب الفاسي,الشباب الرياضي السالمي,3 - 0,20:15
الدوري المغربي,الاتحاد التوركي,اتحاد طنجة,2 - 2,22:30
دوري القسم الثاني-أ,غزل المحلة,حرس الحدود,1 - 1,16:00
الدوري التركي,فاتح كاراجومروك,قاسم باشا,2 - 3,13:30
الدوري التركي,فنربخشة,ريزه سبور,5 - 0,16:00
الدوري التركي,قونيا سبور,بشكتاش,0 - 2,19:00
الدوري التركي,أضنة دمير سبور,ألانيا سبور,4 - 0,19:00
الدوري البرتغالي,أروكا,شافيش,0 - 2,17:30
الدوري البرتغالي,فيتوريا جيماريش,إستوريل,3 - 2,20:00
الدوري البرتغالي,ريو آفي,موريرنسي,0 - 4,22:30
دوري القسم الثاني-أ,طنطا‏,بروكسي,4 - 0,14:30
كأس ألمانيا,بروسيا دورتموند,هوفنهايم,1 - 0,19:00
كأس ألمانيا,ساربروكن,بايرن ميونيخ,2 - 1,21:45
كأس ألمانيا,فيكتوريا كولن,آ. فرانكفورت,0 - 2,21:45
الدوري المصري,الداخلية,بلدية المحلة,0 - 0,16:00
الدوري المصري,إنبي,المصري,1 - 2,16:00
الدوري المصري,البنك الاهلي,سيراميكا كليوباترا,0 - 1,19:00
دوري أبطال أفريقيا,الهلال السوداني,الترجى الرياضي,3 - 1,18:00
دوري أبطال أفريقيا,ميدياما,شباب بلوزداد,2 - 1,18:00
الدوري الإسباني,لاس بالماس,خيتافي,2 - 0,22:00
الدوري السعودي,الفيحاء,ضمك,2 - 4,17:00
الدوري السعودي,الهلال,النصر,3 - 0,20:00
الدوري الإيطالي,مونزا,يوفنتوس,1 - 2,21:45
الدوري الألماني,دارمشتات,كولن,0 - 1,21:30
الدوري الفرنسي,ريمس,ستراسبورج,2 - 1,22:00
الدوري التركي,فاتح كاراجومروك,إسطنبول سبور,3 - 0,19:00
الدوري التركي,هاتاي سبور,انطاليا سبور,3 - 3,19:00
الدوري البرتغالي,شافيش,فيزيلا,2 - 1,22:30
دوري نجوم قطر,المرخية الرياضي,العربي,0 - 4,16:30
دوري نجوم قطر,السد القطري,الشمال,4 - 0,18:30
دوري نجوم قطر,الدحيل,ام صلال,0 - 1,18:30
الدوري الإماراتي,عجمان,حتا,1 - 1,14:45
الدوري الإماراتي,نادي الامارات,اتحاد كلباء,2 - 4,14:45
الدوري الإماراتي,النصر الإماراتي,الوحـــدة,1 - 1,17:30
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
